iter	Passed	Remaining
0	2	292
1	4	229
2	6	207
3	8	201
4	10	201
5	12	191
6	13	183
7	15	183
8	17	178
9	19	174
10	21	172
11	23	170
12	25	167
13	26	164
14	28	160
15	30	160
16	32	158
17	34	156
18	35	152
19	37	149
20	38	145
21	40	142
22	41	138
23	43	136
24	45	135
25	46	132
26	47	129
27	49	126
28	51	124
29	52	121
30	53	118
31	54	115
32	55	112
33	56	110
34	57	107
35	58	104
36	60	102
37	61	100
38	62	97
39	63	95
40	65	93
41	65	90
42	66	87
43	67	85
44	68	83
45	69	81
46	70	79
47	71	77
48	72	75
49	73	73
50	74	71
51	75	69
52	76	67
53	77	66
54	78	64
55	79	62
56	80	60
57	81	59
58	82	57
59	83	55
60	84	54
61	85	52
62	86	50
63	87	49
64	88	47
65	89	46
66	90	44
67	91	43
68	92	41
69	93	40
70	94	38
71	95	37
72	96	35
73	97	34
74	98	32
75	99	31
76	100	30
77	101	28
78	102	27
79	104	26
80	105	24
81	106	23
82	107	21
83	108	20
84	109	19
85	110	17
86	111	16
87	112	15
88	113	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	120	5
96	122	3
97	122	2
98	123	1
99	124	0
